INC000002451273;Atrasou;00 03:04:37;7259APL-SIPLD;*SIPLD -  ERRO NO TRATAMENTO DE OCORRÊNCIAS DE MOVIMENTAÇÃO ATÍPICA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60;29/10/2018 13:48:17
INC000002507899;Atrasou;00 04:07:08;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA37MZC-MF-ABEND ORDER ID B2Q59;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;12/12/2018 16:01:58
INC000002519460;Atrasou;00 01:23:34;7259MOD-SIAOI-BATCH;CTRLM-SIAOI-AOIAL222-MF-ABEND ORDER ID B81A2;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;27/12/2018 12:50:10
INC000002521896;Atrasou;00 01:56:09;7259APL-SIEXC;*EMAIL - SIEXC PRODUÇÃO - ERRO NAS TAREFAS - 03/01/2019;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 14:49:23
INC000002522079;Atrasou;00 07:17:19;7259APL-SISPL;*PRODUÇÃO.7259APL-SISPL.PERDA DE REDUNDÂNCIA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 08:44:32
INC000002522592;Atrasou;00 01:05:07;7259APL-SIOPI;*PRODUÇÃO.7259APL-SIOPI.INDISPONIBILIDADE;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;4/1/2019 10:48:08
INC000002524079;Atrasou;00 01:03:02;7259MOD-SIPES-BATCH;CTRLM-SIPES-PES01MZA-MF-ABEND ORDER ID B9OZ6;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;31/12/2018 21:01:40
INC000002524238;Atrasou;00 01:10:58;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA81MZA-MF-ABEND ORDER ID B9PKY;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;1/1/2019 02:22:59
INC000002524238;Atrasou;00 02:08:37;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA81MZA-MF-ABEND ORDER ID B9PKY;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;1/1/2019 02:22:59
INC000002524238;Atrasou;00 03:20:14;7259MOD-SIARA-BATCH;CTRLM-SIARA-ARA81MZA-MF-ABEND ORDER ID B9PKY;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;1/1/2019 02:22:59
INC000002524419;Atrasou;00 02:01:45;7259MOD-SIAOI-BATCH;CTRLM-SIAOI-AOIAL502-MF-ABEND ORDER ID B9LG5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;1/1/2019 09:00:14
