INC000002572143;Atrasou;00 02:46:52;7259MOD-SIAPI-BATCH;CTRLM-SIAPI-API04ME1-MF-ABEND ORDER ID BTFI3;12247/2015_CEPTIBR_HIT_AHS_IEPC005_Inc_ResolucaoP30.;23/2/2019 01:29:04
INC000002574220;Atrasou;00 07:45:31;7259MOD-SISPB-BATCH;CTRLM-SISPB-SPB01MZM-MF-TEMPO EXCEDIDO ORDER ID 7NYNN;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;22/2/2019 23:10:13
INC000002574257;Atrasou;00 00:57:11;7261APL-SINBC;ZBXPRD - SNI -  - INDISPONIBILIDADE NA;00547/2017_CEPTIBR_CTI_SUP_IEPC005_Inc_ResolucaoD45.;22/2/2019 23:57:37
INC000002574257;Atrasou;00 02:18:23;7261APL-SINBC;ZBXPRD - SNI -  - INDISPONIBILIDADE NA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;22/2/2019 23:57:37
INC000002574283;Atrasou;00 02:45:25;7259MOD-SIAPX-BATCH;CTRLM-SIAPX-APX06M20-MF-ABEND ORDER ID BTFS5;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;23/2/2019 00:14:19
INC000002574300;Atrasou;00 02:29:25;7259MOD-SIAPX-BATCH;CTRLM-SIAPX-APX06M24-MF-ABEND ORDER ID BTFS9;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;23/2/2019 00:31:19
INC000002574325;Atrasou;00 02:12:55;7259MOD-SIAPX-BATCH;CTRLM-SIAPX-APX06M25-MF-ABEND ORDER ID BTFSA;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoP45.;23/2/2019 00:52:26
INC000002574473;Atrasou;00 01:09:16;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPRJ01-MF-ABEND ORDER ID BTTIG;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:32:19
INC000002574474;Atrasou;00 01:10:51;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPRJ05-MF-ABEND ORDER ID BTTIK;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:32:28
INC000002574475;Atrasou;00 01:10:44;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPRS01-MF-ABEND ORDER ID BTTIN;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:32:35
INC000002574476;Atrasou;00 01:10:36;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPRS07-MF-ABEND ORDER ID BTTIO;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:32:42
INC000002574477;Atrasou;00 01:10:28;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPRS03-MF-ABEND ORDER ID BTTIP;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:32:49
INC000002574478;Atrasou;00 01:10:20;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPRS04-MF-ABEND ORDER ID BTTIQ;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:32:56
INC000002574479;Atrasou;00 01:10:12;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPRS02-MF-ABEND ORDER ID BTTIR;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:03
INC000002574480;Atrasou;00 01:20:18;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP01-MF-ABEND ORDER ID BTTIU;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:10
INC000002574481;Atrasou;00 01:09:57;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP04-MF-ABEND ORDER ID BTTIV;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:17
INC000002574482;Atrasou;00 01:09:49;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP02-MF-ABEND ORDER ID BTTIW;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:24
INC000002574483;Atrasou;00 01:09:42;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP03-MF-ABEND ORDER ID BTTIX;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:30
INC000002574484;Atrasou;00 01:09:34;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP05-MF-ABEND ORDER ID BTTIY;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:37
INC000002574485;Atrasou;00 01:09:26;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP06-MF-ABEND ORDER ID BTTIZ;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:44
INC000002574486;Atrasou;00 01:09:17;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP07-MF-ABEND ORDER ID BTTJ0;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:51
INC000002574487;Atrasou;00 01:09:09;7259MOD-SIACI-BATCH;CTRLM-SIACI-GEAPSP08-MF-ABEND ORDER ID BTTJ1;03321/2017_CEPTIBR_CPM_PRO_IEPC005_Inc_ResolucaoD60.;23/2/2019 07:33:58
